pearson_correlation,pearson_p_value,spearman_correlation,spearman_p_value,similarity,kl_divergence,js_divergence,image_idx,image_name
0.30388898,0.0,0.3922990088502303,0.0,0.6092922,1.1972053,0.38407704,0,COCO_val2014_000000000133.jpg
0.33717293,0.0,0.5260006390652855,0.0,0.48634875,0.850111,0.44413388,1,COCO_val2014_000000000164.jpg
0.61991847,0.0,0.6302023288240399,0.0,0.4444703,1.0071557,0.4987953,2,COCO_val2014_000000000192.jpg
0.415125,0.0,0.6045967513459434,0.0,0.6305267,0.44889563,0.33503208,3,COCO_val2014_000000000196.jpg
0.025321933,9.248486280239852e-45,0.04344251185843236,3.2162002907517015e-128,0.26941225,2.30404,0.6412452,4,COCO_val2014_000000000208.jpg
0.38122487,0.0,0.6793093855403362,0.0,0.49603203,0.8602976,0.44088387,5,COCO_val2014_000000000257.jpg
0.42288044,0.0,0.5684012570117108,0.0,0.36704975,1.190323,0.5494311,6,COCO_val2014_000000000387.jpg
-0.25066772,0.0,-0.2166730203854625,0.0,0.44472918,1.1736866,0.5025782,7,COCO_val2014_000000000397.jpg
0.49665135,0.0,0.6893059091597635,0.0,0.59134185,0.6125735,0.3816952,8,COCO_val2014_000000000520.jpg
0.4008903,0.0,0.33423843704556916,0.0,0.41034907,0.99129623,0.51530445,9,COCO_val2014_000000000569.jpg
0.40008724,0.0,0.5107328909109659,0.0,0.31237188,1.3559558,0.58536977,10,COCO_val2014_000000000589.jpg
-0.13063103,0.0,0.03959177160361075,8.195952940542385e-107,0.118246555,2.857967,0.7312765,11,COCO_val2014_000000000675.jpg
0.38383043,0.0,0.6615635800127063,0.0,0.41022512,1.2050363,0.5090586,12,COCO_val2014_000000000692.jpg
0.53550804,0.0,0.6219211462603024,0.0,0.64539427,0.6000043,0.35584584,13,COCO_val2014_000000000711.jpg
0.23417526,0.0,0.2675109872817694,0.0,0.6034327,0.8026671,0.3873559,14,COCO_val2014_000000000715.jpg
-0.11893706,0.0,-0.06926224181662176,0.0,0.23456009,1.8740433,0.6453417,15,COCO_val2014_000000000761.jpg
0.44466147,0.0,0.5852541652110806,0.0,0.4588572,1.0541997,0.4882863,16,COCO_val2014_000000000810.jpg
0.14626244,0.0,0.17458269855117783,0.0,0.51227146,1.0310987,0.46301582,17,COCO_val2014_000000000939.jpg
0.3583572,0.0,0.496010113637831,0.0,0.5740674,0.6321024,0.405705,18,COCO_val2014_000000000987.jpg
-0.10704021,0.0,0.09641766062829007,0.0,0.24756837,1.7881389,0.6351258,19,COCO_val2014_000000001000.jpg
0.16883527,0.0,0.31133517056256843,0.0,0.42542154,0.9930342,0.5083522,20,COCO_val2014_000000001270.jpg
0.0070511457,9.30037619689756e-05,0.052379040794127724,1.484504602729148e-185,0.38880467,1.3400966,0.54074407,21,COCO_val2014_000000001342.jpg
0.21371458,0.0,0.37586746087929157,0.0,0.27144656,1.5755165,0.61564845,22,COCO_val2014_000000001369.jpg
0.4571055,0.0,0.613776159987225,0.0,0.42618325,0.943237,0.5002515,23,COCO_val2014_000000001532.jpg
